,Subject,IncludedFeatures,ldn_theta,ldn_q,sim_dt,train_test_split,hl_radius,hl_neurons,decision_threshold,test_on_train,true_neg,false_pos,false_neg,true_pos,accuracy,sensitivity,specificity
0,SA06,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24102,6,684,180,0.9723690533397406,0.20833333333333334,0.9997511199601792
1,SA07,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,23040,29,745,215,0.9677889217195889,0.22395833333333334,0.9987429017295938
2,SA08,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24738,29,499,523,0.9795261545620225,0.5117416829745597,0.9988290870916946
3,SA09,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,27700,156,406,384,0.980381205054807,0.4860759493670886,0.9943997702469844
4,SA10,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,23580,30,593,545,0.9748262485857443,0.4789103690685413,0.9987293519695044
5,SA11,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25566,27,818,332,0.9684029465654563,0.288695652173913,0.9989450240300082
6,SA12,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,21957,85,544,445,0.9726889844123139,0.4499494438827098,0.9961437256147355
7,SA13,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25172,14,927,225,0.9642721543017693,0.1953125,0.9994441356309061
8,SA14,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,21885,25,547,249,0.9748084206817581,0.3128140703517588,0.9988589685075308
9,SA15,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25751,38,750,241,0.9705750560119493,0.24318869828456105,0.9985265035480243
10,SA16,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24176,169,762,233,0.9632596685082873,0.23417085427135678,0.993058122817827
11,SA17,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,28807,35,906,260,0.968641695547854,0.22298456260720412,0.9987864919215034
12,SA18,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25982,24,1120,319,0.958316633266533,0.221681723419041,0.999077136045528
13,SA19,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,26641,39,864,273,0.9675378365747564,0.24010554089709762,0.9985382308845577
14,SA20,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,22758,120,794,463,0.9621296871763,0.36833731105807477,0.99475478625754
15,SA21,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,28680,87,821,398,0.969719202294404,0.32649712879409354,0.9969757013244342
16,SA22,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,27368,96,1013,396,0.9615904131887923,0.28105039034776436,0.9965045150014564
17,SA23,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25810,133,771,387,0.9666432972953027,0.33419689119170987,0.9948733762479282
18,SA24,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,22438,181,751,384,0.9607645028205776,0.3383259911894273,0.9919978778902693
19,SA25,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24047,46,704,341,0.9701646909061978,0.3263157894736842,0.9980907317478106
20,SA26,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,27027,25,1072,309,0.9614180705518236,0.22375090514120202,0.9990758539109863
21,SA27,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25491,104,858,487,0.9642910170749814,0.3620817843866171,0.9959367063879664
22,SA28,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24868,10,729,228,0.9713953938455584,0.23824451410658307,0.9995980384275264
23,SA29,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,21217,131,752,360,0.9606856634016029,0.3237410071942446,0.9938635937792768
24,SA30,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24761,56,837,358,0.9656696909118868,0.299581589958159,0.9977434822903655
25,SA31,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,23600,166,585,495,0.9697738066489576,0.4583333333333333,0.9930152318438105
26,SA32,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,21763,128,958,428,0.9533445031576234,0.3088023088023088,0.9941528482024576
27,SA33,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,23499,85,743,478,0.9666196331384801,0.3914823914823915,0.9963958616010855
28,SA35,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,26892,58,946,142,0.9641914544546687,0.13051470588235295,0.997847866419295
29,SA36,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,25671,295,353,455,0.9757974154030029,0.5631188118811881,0.9886389894477393
30,SA37,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,22152,44,715,303,0.967304212974929,0.29764243614931235,0.9980176608397909
31,SA38,All,1.0,20,0.01,0.8,1.0,1000,0.5,False,24835,45,930,302,0.9626608455882353,0.24512987012987014,0.9981913183279743
